role,company,city,experience,education,salary,salary_lpa,skills,primary_skill,posted_days_ago,quarter,growth_rate,demand_score
ML Engineer,Microsoft India,Bangalore,Fresher (0-1 yr),M.Tech,805429,8.1,PyTorch|TensorFlow|CI/CD|Python,PyTorch,67,Q2 2026,35,96
BI Developer,Fractal Analytics,Mumbai,Fresher (0-1 yr),M.Tech,444725,4.4,Power BI|Excel|SSRS,Power BI,13,Q2 2026,15,80
Data Analyst,CRED,Bangalore,Junior (1-3 yrs),BSc,616601,6.2,Python|SQL|Excel|Tableau,Python,38,Q2 2026,22,92
Data Engineer,Mu Sigma,Hyderabad,Fresher (0-1 yr),MCA,531645,5.3,Python|AWS|Spark,Python,60,Q2 2026,30,93
Python Developer,LatentView,Noida,Fresher (0-1 yr),BCA,401669,4.0,REST APIs|AWS|SQL|Docker,REST APIs,7,Q2 2026,24,89
Data Analyst,Paytm,Hyderabad,Junior (1-3 yrs),B.Tech,547151,5.5,Excel|Python|Tableau,Excel,85,Q1 2026,22,92
AI/ML Researcher,Infosys,Pune,Fresher (0-1 yr),M.Tech,785385,7.9,PyTorch|Generative AI|Python,PyTorch,48,Q2 2026,42,98
Product Analyst,Swiggy,Bangalore,Fresher (0-1 yr),B.Tech,523283,5.2,Python|A/B Testing|Google Analytics,Python,144,Q1 2026,20,85
Data Analyst,Hexaware,Hyderabad,Fresher (0-1 yr),M.Tech,436329,4.4,Python|R|SQL|Statistics,Python,64,Q2 2026,22,92
Python Developer,EXL Service,Gurgaon,Junior (1-3 yrs),M.Tech,643317,6.4,AWS|Python|SQL,AWS,42,Q2 2026,24,89
Data Engineer,Wipro,Kolkata,Junior (1-3 yrs),B.Tech,688147,6.9,AWS|Spark|SQL|Airflow,AWS,13,Q2 2026,30,93
AI/ML Researcher,IBM India,Bangalore,Mid (3-5 yrs),MBA,1761189,17.6,Deep Learning|LLMs|Mathematics,Deep Learning,23,Q2 2026,42,98
QA Engineer,Amazon India,Bangalore,Fresher (0-1 yr),BCA,387794,3.9,Git|Selenium|Python|SQL,Git,149,Q1 2026,10,72
Data Scientist,Swiggy,Mumbai,Mid (3-5 yrs),M.Tech,1259762,12.6,Scikit-learn|TensorFlow|Python,Scikit-learn,53,Q2 2026,28,95
QA Engineer,Mu Sigma,Hyderabad,Junior (1-3 yrs),B.Tech,454607,4.5,Python|Manual Testing|SQL,Python,20,Q2 2026,10,72
QA Engineer,Deloitte,Pune,Mid (3-5 yrs),B.Tech,643576,6.4,Python|JIRA|SQL|API Testing|Manual Testing,Python,138,Q1 2026,10,72
Python Developer,Tech Mahindra,Hyderabad,Fresher (0-1 yr),BCA,409553,4.1,Django|FastAPI|SQL|Docker|Python,Django,43,Q2 2026,24,89
BI Developer,Google India,Pune,Senior (5+ yrs),BSc,1046902,10.5,SSRS|Excel|Azure|Tableau,SSRS,65,Q2 2026,15,80
ML Engineer,Hexaware,Hyderabad,Senior (5+ yrs),BCA,1827278,18.3,AWS|TensorFlow|CI/CD|MLOps|Docker,AWS,15,Q2 2026,35,96
AI/ML Researcher,Capgemini,Hyderabad,Junior (1-3 yrs),MBA,1177480,11.8,PyTorch|Research|Deep Learning,PyTorch,112,Q1 2026,42,98
BI Developer,Wipro,Pune,Senior (5+ yrs),B.Tech,1257549,12.6,Power BI|Tableau|DAX|SQL|Azure,Power BI,111,Q1 2026,15,80
Python Developer,PhonePe,Bangalore,Mid (3-5 yrs),MSc,1072950,10.7,REST APIs|AWS|SQL|Django|Docker,REST APIs,83,Q1 2026,24,89
AI/ML Researcher,Capgemini,Bangalore,Junior (1-3 yrs),MBA,1327868,13.3,Python|PyTorch|Deep Learning|Mathematics,Python,57,Q2 2026,42,98
Data Engineer,Amazon India,Hyderabad,Junior (1-3 yrs),MCA,793814,7.9,Python|SQL|ETL,Python,42,Q2 2026,30,93
Business Analyst,Fractal Analytics,Mumbai,Senior (5+ yrs),MCA,1315909,13.2,Power BI|Tableau|SQL,Power BI,53,Q2 2026,18,87
Product Analyst,Infosys,Bangalore,Fresher (0-1 yr),BCA,431595,4.3,Python|Power BI|Google Analytics|A/B Testing,Python,61,Q2 2026,20,85
Data Engineer,Infosys,Pune,Junior (1-3 yrs),BCA,677308,6.8,SQL|Python|Spark|Hadoop|Airflow,SQL,0,Q2 2026,30,93
Data Analyst,Mphasis,Chennai,Fresher (0-1 yr),BCA,321219,3.2,Tableau|Python|R|Statistics|Power BI,Tableau,126,Q1 2026,22,92
Data Scientist,WNS Global,Hyderabad,Junior (1-3 yrs),BCA,810267,8.1,Deep Learning|PyTorch|Scikit-learn|TensorFlow|Python,Deep Learning,99,Q1 2026,28,95
Data Analyst,Amazon India,Noida,Junior (1-3 yrs),MSc,427792,4.3,R|Statistics|Excel,R,122,Q1 2026,22,92
AI/ML Researcher,TCS,Hyderabad,Fresher (0-1 yr),BCA,674930,6.7,PyTorch|LLMs|Deep Learning|Mathematics|Generative AI,PyTorch,30,Q2 2026,42,98
BI Developer,IBM India,Mumbai,Senior (5+ yrs),B.Tech,1130107,11.3,Excel|Power BI|DAX,Excel,23,Q2 2026,15,80
QA Engineer,Microsoft India,Pune,Mid (3-5 yrs),MBA,744058,7.4,Python|API Testing|JIRA|Git|Selenium,Python,48,Q2 2026,10,72
QA Engineer,Fractal Analytics,Noida,Fresher (0-1 yr),MBA,292737,2.9,JIRA|Python|Git,JIRA,105,Q1 2026,10,72
ML Engineer,Google India,Hyderabad,Senior (5+ yrs),BCA,1823753,18.2,Docker|PyTorch|CI/CD|AWS|MLOps,Docker,110,Q1 2026,35,96
ML Engineer,HCL Technologies,Mumbai,Fresher (0-1 yr),MCA,611351,6.1,Python|AWS|TensorFlow|Docker,Python,23,Q2 2026,35,96
QA Engineer,Tech Mahindra,Bangalore,Mid (3-5 yrs),BCA,780490,7.8,API Testing|JIRA|Selenium|Python,API Testing,100,Q1 2026,10,72
Business Analyst,CRED,Pune,Senior (5+ yrs),M.Tech,1037070,10.4,Stakeholder Management|Power BI|Excel|JIRA,Stakeholder Management,58,Q2 2026,18,87
Product Analyst,Accenture,Hyderabad,Junior (1-3 yrs),MCA,604387,6.0,Power BI|Google Analytics|SQL,Power BI,2,Q2 2026,20,85
Data Scientist,HCL Technologies,Bangalore,Senior (5+ yrs),BCA,1745531,17.5,PyTorch|Python|TensorFlow,PyTorch,29,Q2 2026,28,95
QA Engineer,Mu Sigma,Gurgaon,Fresher (0-1 yr),BSc,271764,2.7,JIRA|API Testing|Selenium|Git,JIRA,170,Q4 2025,10,72
BI Developer,Hexaware,Hyderabad,Fresher (0-1 yr),M.Tech,344696,3.4,SQL|Azure|Power BI|DAX|SSRS,SQL,104,Q1 2026,15,80
Data Analyst,Zomato,Bangalore,Fresher (0-1 yr),MCA,380978,3.8,SQL|R|Tableau|Python,SQL,51,Q2 2026,22,92
AI/ML Researcher,LatentView,Bangalore,Senior (5+ yrs),BSc,1999444,20.0,Python|LLMs|Mathematics|Deep Learning,Python,7,Q2 2026,42,98
QA Engineer,Zomato,Bangalore,Mid (3-5 yrs),B.Tech,651385,6.5,SQL|Manual Testing|Git|JIRA,SQL,57,Q2 2026,10,72
AI/ML Researcher,LatentView,Mumbai,Senior (5+ yrs),MSc,2146904,21.5,LLMs|Generative AI|Python|Mathematics,LLMs,167,Q1 2026,42,98
Business Analyst,Swiggy,Bangalore,Junior (1-3 yrs),MCA,749111,7.5,Power BI|JIRA|SQL|Agile|Tableau,Power BI,22,Q2 2026,18,87
Python Developer,Razorpay,Bangalore,Mid (3-5 yrs),MSc,1062819,10.6,REST APIs|Docker|FastAPI|AWS|Django,REST APIs,66,Q2 2026,24,89
Data Scientist,Flipkart,Pune,Fresher (0-1 yr),M.Tech,527121,5.3,Statistics|Machine Learning|Deep Learning|Python|Scikit-learn,Statistics,117,Q1 2026,28,95
QA Engineer,Swiggy,Bangalore,Senior (5+ yrs),BCA,984970,9.8,Git|Manual Testing|SQL|JIRA,Git,178,Q4 2025,10,72
Product Analyst,Mphasis,Chennai,Fresher (0-1 yr),B.Tech,464188,4.6,Google Analytics|Mixpanel|A/B Testing|Excel|Power BI,Google Analytics,69,Q2 2026,20,85
Product Analyst,Swiggy,Bangalore,Mid (3-5 yrs),BSc,975802,9.8,A/B Testing|SQL|Python,A/B Testing,92,Q1 2026,20,85
Data Analyst,HCL Technologies,Hyderabad,Mid (3-5 yrs),MBA,661022,6.6,Statistics|Excel|Power BI|Python|SQL,Statistics,60,Q2 2026,22,92
Python Developer,Accenture,Bangalore,Junior (1-3 yrs),MBA,784556,7.8,Git|Docker|REST APIs|SQL|Django,Git,28,Q2 2026,24,89
Business Analyst,Mu Sigma,Bangalore,Junior (1-3 yrs),MBA,589432,5.9,Stakeholder Management|Power BI|Excel|Tableau|Agile,Stakeholder Management,147,Q1 2026,18,87
Product Analyst,Google India,Bangalore,Mid (3-5 yrs),MBA,957916,9.6,Excel|SQL|Mixpanel|A/B Testing,Excel,171,Q4 2025,20,85
Product Analyst,Accenture,Hyderabad,Junior (1-3 yrs),B.Tech,673279,6.7,Python|Google Analytics|Mixpanel|SQL|Power BI,Python,109,Q1 2026,20,85
Data Scientist,Fractal Analytics,Bangalore,Junior (1-3 yrs),MBA,1010324,10.1,Statistics|PyTorch|Python|TensorFlow|Deep Learning,Statistics,150,Q1 2026,28,95
BI Developer,Google India,Pune,Junior (1-3 yrs),MSc,561280,5.6,DAX|Power BI|SSRS,DAX,11,Q2 2026,15,80
Business Analyst,Hexaware,Bangalore,Junior (1-3 yrs),MCA,725851,7.3,Stakeholder Management|Power BI|SQL|Excel|Agile,Stakeholder Management,7,Q2 2026,18,87
Business Analyst,Deloitte,Hyderabad,Mid (3-5 yrs),BCA,995829,10.0,SQL|Excel|JIRA|Stakeholder Management,SQL,25,Q2 2026,18,87
Product Analyst,CRED,Pune,Junior (1-3 yrs),B.Tech,547934,5.5,Python|SQL|Mixpanel,Python,26,Q2 2026,20,85
Data Engineer,PhonePe,Pune,Mid (3-5 yrs),B.Tech,938359,9.4,SQL|Hadoop|Spark,SQL,8,Q2 2026,30,93
AI/ML Researcher,Razorpay,Bangalore,Mid (3-5 yrs),MCA,1624933,16.2,Mathematics|Research|Generative AI,Mathematics,25,Q2 2026,42,98
Data Engineer,Mu Sigma,Hyderabad,Junior (1-3 yrs),B.Tech,770976,7.7,SQL|Kafka|Airflow|ETL|Spark,SQL,175,Q4 2025,30,93
Product Analyst,TCS,Chennai,Mid (3-5 yrs),MBA,784511,7.8,A/B Testing|Excel|Power BI,A/B Testing,162,Q1 2026,20,85
ML Engineer,Mphasis,Hyderabad,Junior (1-3 yrs),B.Tech,1078921,10.8,TensorFlow|Python|CI/CD|MLOps|PyTorch,TensorFlow,57,Q2 2026,35,96
Python Developer,HCL Technologies,Bangalore,Fresher (0-1 yr),MCA,556555,5.6,AWS|SQL|Docker|Python|REST APIs,AWS,35,Q2 2026,24,89
Product Analyst,TCS,Pune,Mid (3-5 yrs),M.Tech,893616,8.9,Google Analytics|SQL|Mixpanel,Google Analytics,7,Q2 2026,20,85
Data Engineer,EXL Service,Hyderabad,Mid (3-5 yrs),MSc,1018268,10.2,Spark|SQL|Kafka,Spark,152,Q1 2026,30,93
BI Developer,Google India,Pune,Junior (1-3 yrs),M.Tech,624713,6.2,Excel|SQL|Tableau,Excel,86,Q1 2026,15,80
BI Developer,Hexaware,Bangalore,Junior (1-3 yrs),MSc,762670,7.6,Power BI|SQL|DAX,Power BI,140,Q1 2026,15,80
Data Analyst,Zomato,Mumbai,Junior (1-3 yrs),MBA,650603,6.5,R|Statistics|SQL|Tableau,R,43,Q2 2026,22,92
QA Engineer,Deloitte,Pune,Fresher (0-1 yr),MSc,265898,2.7,Python|Manual Testing|Git,Python,41,Q2 2026,10,72
AI/ML Researcher,PhonePe,Bangalore,Fresher (0-1 yr),M.Tech,882060,8.8,Research|Generative AI|PyTorch|LLMs|Deep Learning,Research,66,Q2 2026,42,98
Python Developer,Google India,Hyderabad,Mid (3-5 yrs),BSc,801937,8.0,Docker|Python|REST APIs|SQL|Git,Docker,62,Q2 2026,24,89
Data Engineer,Microsoft India,Kolkata,Mid (3-5 yrs),MCA,837271,8.4,Kafka|Python|ETL,Kafka,29,Q2 2026,30,93
BI Developer,WNS Global,Gurgaon,Fresher (0-1 yr),B.Tech,335270,3.4,Tableau|Power BI|SQL,Tableau,50,Q2 2026,15,80
Python Developer,WNS Global,Chennai,Mid (3-5 yrs),MSc,859251,8.6,FastAPI|AWS|Django|Python,FastAPI,158,Q1 2026,24,89
Data Engineer,Tech Mahindra,Bangalore,Junior (1-3 yrs),MSc,922835,9.2,SQL|ETL|Python|Kafka,SQL,77,Q2 2026,30,93
AI/ML Researcher,Paytm,Mumbai,Mid (3-5 yrs),B.Tech,1400081,14.0,LLMs|Deep Learning|Python,LLMs,37,Q2 2026,42,98
Business Analyst,Google India,Gurgaon,Junior (1-3 yrs),MBA,566981,5.7,Agile|JIRA|Power BI|Stakeholder Management|Tableau,Agile,62,Q2 2026,18,87
Data Scientist,Paytm,Noida,Senior (5+ yrs),MCA,1412419,14.1,Machine Learning|Python|Scikit-learn|Statistics,Machine Learning,4,Q2 2026,28,95
BI Developer,Capgemini,Gurgaon,Senior (5+ yrs),M.Tech,1062397,10.6,Azure|SQL|Tableau|Excel,Azure,31,Q2 2026,15,80
Python Developer,Amazon India,Bangalore,Junior (1-3 yrs),MSc,656776,6.6,FastAPI|SQL|Python,FastAPI,114,Q1 2026,24,89
AI/ML Researcher,HCL Technologies,Bangalore,Fresher (0-1 yr),BCA,819480,8.2,Mathematics|PyTorch|Generative AI|Python,Mathematics,87,Q1 2026,42,98
Python Developer,Mphasis,Bangalore,Senior (5+ yrs),B.Tech,1587012,15.9,AWS|Django|Git|REST APIs|Python,AWS,39,Q2 2026,24,89
Data Scientist,EXL Service,Bangalore,Mid (3-5 yrs),MBA,1051354,10.5,Scikit-learn|Deep Learning|SQL|PyTorch,Scikit-learn,36,Q2 2026,28,95
Data Analyst,HCL Technologies,Bangalore,Fresher (0-1 yr),MCA,360993,3.6,R|Statistics|Excel,R,31,Q2 2026,22,92
Python Developer,EXL Service,Noida,Mid (3-5 yrs),BCA,814406,8.1,REST APIs|AWS|Docker|Python|Django,REST APIs,25,Q2 2026,24,89
ML Engineer,IBM India,Bangalore,Junior (1-3 yrs),MSc,1193759,11.9,CI/CD|PyTorch|Python,CI/CD,77,Q2 2026,35,96
Data Engineer,Swiggy,Bangalore,Mid (3-5 yrs),M.Tech,1261559,12.6,Spark|AWS|SQL,Spark,85,Q1 2026,30,93
Data Scientist,Fractal Analytics,Mumbai,Junior (1-3 yrs),MCA,909178,9.1,Statistics|TensorFlow|Scikit-learn|Deep Learning,Statistics,11,Q2 2026,28,95
ML Engineer,Tech Mahindra,Hyderabad,Fresher (0-1 yr),BSc,620430,6.2,MLOps|TensorFlow|CI/CD|Python,MLOps,180,Q4 2025,35,96
Data Scientist,LatentView,Bangalore,Junior (1-3 yrs),M.Tech,924500,9.2,Scikit-learn|PyTorch|Machine Learning|Statistics,Scikit-learn,154,Q1 2026,28,95
Business Analyst,Flipkart,Gurgaon,Mid (3-5 yrs),MSc,676008,6.8,Agile|SQL|JIRA|Stakeholder Management,Agile,67,Q2 2026,18,87
Data Engineer,Google India,Gurgaon,Junior (1-3 yrs),MCA,789458,7.9,Python|Kafka|Spark,Python,94,Q1 2026,30,93
Product Analyst,Microsoft India,Bangalore,Mid (3-5 yrs),BSc,1154094,11.5,Mixpanel|A/B Testing|Python|Google Analytics|SQL,Mixpanel,147,Q1 2026,20,85
ML Engineer,Hexaware,Bangalore,Junior (1-3 yrs),MSc,1077173,10.8,AWS|PyTorch|Python|CI/CD,AWS,49,Q2 2026,35,96
QA Engineer,Flipkart,Mumbai,Junior (1-3 yrs),BSc,589917,5.9,API Testing|Git|Manual Testing|SQL,API Testing,86,Q1 2026,10,72
Python Developer,Mphasis,Bangalore,Fresher (0-1 yr),BSc,558315,5.6,REST APIs|Git|SQL,REST APIs,66,Q2 2026,24,89
Business Analyst,Accenture,Bangalore,Senior (5+ yrs),BSc,1145043,11.5,JIRA|Stakeholder Management|Excel,JIRA,46,Q2 2026,18,87
Data Analyst,Mu Sigma,Bangalore,Fresher (0-1 yr),B.Tech,479313,4.8,R|SQL|Excel,R,94,Q1 2026,22,92
QA Engineer,Paytm,Hyderabad,Fresher (0-1 yr),M.Tech,292496,2.9,Manual Testing|Python|Selenium,Manual Testing,75,Q2 2026,10,72
Business Analyst,Microsoft India,Gurgaon,Fresher (0-1 yr),MBA,410607,4.1,JIRA|Agile|Stakeholder Management|Excel|SQL,JIRA,95,Q1 2026,18,87
Business Analyst,Flipkart,Bangalore,Senior (5+ yrs),B.Tech,1154736,11.5,Agile|Excel|Stakeholder Management,Agile,7,Q2 2026,18,87
BI Developer,PhonePe,Mumbai,Mid (3-5 yrs),B.Tech,723420,7.2,DAX|SQL|Tableau,DAX,68,Q2 2026,15,80
ML Engineer,Flipkart,Bangalore,Junior (1-3 yrs),MSc,1009684,10.1,CI/CD|MLOps|Python,CI/CD,55,Q2 2026,35,96
BI Developer,Accenture,Bangalore,Junior (1-3 yrs),MSc,613902,6.1,DAX|SSRS|Power BI,DAX,8,Q2 2026,15,80
Data Scientist,Cognizant,Bangalore,Junior (1-3 yrs),M.Tech,891567,8.9,TensorFlow|Statistics|SQL,TensorFlow,147,Q1 2026,28,95
Data Scientist,Genpact,Bangalore,Junior (1-3 yrs),BCA,919465,9.2,Deep Learning|SQL|Machine Learning|TensorFlow,Deep Learning,1,Q2 2026,28,95
Data Engineer,TCS,Chennai,Mid (3-5 yrs),MSc,805636,8.1,AWS|Python|SQL|Spark,AWS,157,Q1 2026,30,93
Product Analyst,Zomato,Noida,Junior (1-3 yrs),BSc,529400,5.3,Python|Excel|A/B Testing|Mixpanel|SQL,Python,118,Q1 2026,20,85
Product Analyst,Razorpay,Kolkata,Fresher (0-1 yr),MSc,394706,3.9,Python|A/B Testing|SQL,Python,99,Q1 2026,20,85
Data Scientist,Deloitte,Pune,Senior (5+ yrs),BCA,1399915,14.0,Python|Machine Learning|SQL|PyTorch,Python,115,Q1 2026,28,95
Python Developer,Cognizant,Bangalore,Junior (1-3 yrs),MCA,813435,8.1,SQL|FastAPI|Django|AWS|REST APIs,SQL,67,Q2 2026,24,89
QA Engineer,Microsoft India,Pune,Fresher (0-1 yr),BSc,337098,3.4,API Testing|Git|Manual Testing,API Testing,77,Q2 2026,10,72
BI Developer,Razorpay,Hyderabad,Senior (5+ yrs),MSc,1305536,13.1,Azure|Power BI|SQL|SSRS,Azure,139,Q1 2026,15,80
Data Analyst,HCL Technologies,Mumbai,Junior (1-3 yrs),MSc,624837,6.2,Statistics|SQL|Python,Statistics,47,Q2 2026,22,92
Product Analyst,EXL Service,Gurgaon,Mid (3-5 yrs),MBA,858408,8.6,A/B Testing|SQL|Power BI,A/B Testing,66,Q2 2026,20,85
Data Engineer,PhonePe,Gurgaon,Fresher (0-1 yr),MCA,549282,5.5,Airflow|SQL|Hadoop|Kafka,Airflow,1,Q2 2026,30,93
AI/ML Researcher,Wipro,Bangalore,Fresher (0-1 yr),MSc,778163,7.8,Research|LLMs|Mathematics|Python,Research,29,Q2 2026,42,98
QA Engineer,Amazon India,Mumbai,Junior (1-3 yrs),MSc,488559,4.9,SQL|Selenium|Python|Manual Testing|JIRA,SQL,129,Q1 2026,10,72
BI Developer,Deloitte,Noida,Mid (3-5 yrs),MCA,823774,8.2,SQL|Azure|SSRS|Excel|Tableau,SQL,63,Q2 2026,15,80
Python Developer,Flipkart,Bangalore,Fresher (0-1 yr),MSc,509160,5.1,Python|FastAPI|SQL|Docker|Django,Python,31,Q2 2026,24,89
Business Analyst,Capgemini,Chennai,Mid (3-5 yrs),B.Tech,822950,8.2,Agile|SQL|JIRA,Agile,85,Q1 2026,18,87
Product Analyst,Mphasis,Hyderabad,Mid (3-5 yrs),BCA,1025087,10.3,SQL|Mixpanel|Python,SQL,62,Q2 2026,20,85
AI/ML Researcher,Wipro,Hyderabad,Junior (1-3 yrs),MBA,1255960,12.6,LLMs|Mathematics|Deep Learning|Python|Generative AI,LLMs,98,Q1 2026,42,98
Business Analyst,Capgemini,Mumbai,Mid (3-5 yrs),BCA,1020020,10.2,JIRA|Power BI|Agile,JIRA,25,Q2 2026,18,87
Data Engineer,Swiggy,Bangalore,Fresher (0-1 yr),MCA,582391,5.8,ETL|Spark|SQL,ETL,102,Q1 2026,30,93
Business Analyst,Capgemini,Hyderabad,Junior (1-3 yrs),MCA,581577,5.8,Tableau|Agile|JIRA|Power BI|Excel,Tableau,26,Q2 2026,18,87
BI Developer,Infosys,Bangalore,Senior (5+ yrs),M.Tech,1314840,13.1,Tableau|SQL|Power BI,Tableau,1,Q2 2026,15,80
Data Engineer,LatentView,Bangalore,Senior (5+ yrs),MBA,1606954,16.1,Spark|ETL|Python|SQL,Spark,42,Q2 2026,30,93
Product Analyst,Tiger Analytics,Bangalore,Fresher (0-1 yr),MBA,523136,5.2,SQL|Power BI|Mixpanel|Excel,SQL,53,Q2 2026,20,85
Product Analyst,PhonePe,Bangalore,Mid (3-5 yrs),MBA,1082365,10.8,Excel|SQL|A/B Testing,Excel,113,Q1 2026,20,85
ML Engineer,Mu Sigma,Pune,Fresher (0-1 yr),M.Tech,646819,6.5,PyTorch|CI/CD|Kubernetes|AWS|TensorFlow,PyTorch,39,Q2 2026,35,96
AI/ML Researcher,IBM India,Hyderabad,Mid (3-5 yrs),MBA,1473111,14.7,Mathematics|Research|LLMs|Python|PyTorch,Mathematics,46,Q2 2026,42,98
Product Analyst,Deloitte,Chennai,Mid (3-5 yrs),M.Tech,717055,7.2,SQL|Google Analytics|Excel|A/B Testing,SQL,147,Q1 2026,20,85
Business Analyst,IBM India,Bangalore,Mid (3-5 yrs),BCA,911424,9.1,Agile|JIRA|Power BI|SQL|Excel,Agile,158,Q1 2026,18,87
AI/ML Researcher,Swiggy,Bangalore,Mid (3-5 yrs),BSc,1479898,14.8,Generative AI|LLMs|Python|Research,Generative AI,162,Q1 2026,42,98
Data Engineer,LatentView,Mumbai,Junior (1-3 yrs),MCA,940377,9.4,Spark|Hadoop|ETL|Airflow|AWS,Spark,34,Q2 2026,30,93
ML Engineer,LatentView,Bangalore,Junior (1-3 yrs),M.Tech,982709,9.8,PyTorch|Kubernetes|Docker|TensorFlow,PyTorch,92,Q1 2026,35,96
Python Developer,EXL Service,Bangalore,Mid (3-5 yrs),MBA,914909,9.1,Docker|Python|SQL|REST APIs|Django,Docker,142,Q1 2026,24,89
Business Analyst,Microsoft India,Bangalore,Fresher (0-1 yr),B.Tech,391146,3.9,Excel|Power BI|JIRA|Tableau|Agile,Excel,114,Q1 2026,18,87
Business Analyst,PhonePe,Hyderabad,Mid (3-5 yrs),MCA,894833,8.9,SQL|Tableau|Excel|Agile|Stakeholder Management,SQL,70,Q2 2026,18,87
Data Analyst,Cognizant,Pune,Junior (1-3 yrs),MSc,546757,5.5,Statistics|Tableau|Excel,Statistics,100,Q1 2026,22,92
Business Analyst,TCS,Mumbai,Fresher (0-1 yr),M.Tech,422188,4.2,Power BI|Tableau|SQL,Power BI,148,Q1 2026,18,87
Python Developer,Wipro,Bangalore,Junior (1-3 yrs),MBA,644072,6.4,Python|AWS|Docker|Django|Git,Python,12,Q2 2026,24,89
Product Analyst,IBM India,Bangalore,Fresher (0-1 yr),MSc,490079,4.9,A/B Testing|Mixpanel|Python,A/B Testing,34,Q2 2026,20,85
Business Analyst,Wipro,Noida,Fresher (0-1 yr),BCA,360748,3.6,JIRA|SQL|Stakeholder Management,JIRA,107,Q1 2026,18,87
AI/ML Researcher,Tech Mahindra,Gurgaon,Junior (1-3 yrs),BSc,1130471,11.3,LLMs|Generative AI|Mathematics,LLMs,102,Q1 2026,42,98
Business Analyst,Flipkart,Mumbai,Mid (3-5 yrs),B.Tech,925234,9.3,JIRA|Excel|Tableau|Power BI,JIRA,55,Q2 2026,18,87
Product Analyst,Microsoft India,Mumbai,Fresher (0-1 yr),BCA,461333,4.6,Python|Google Analytics|Mixpanel|A/B Testing,Python,69,Q2 2026,20,85
ML Engineer,Flipkart,Hyderabad,Mid (3-5 yrs),MSc,1176816,11.8,TensorFlow|CI/CD|AWS,TensorFlow,105,Q1 2026,35,96
Business Analyst,Genpact,Pune,Mid (3-5 yrs),MBA,928141,9.3,SQL|JIRA|Power BI|Excel|Tableau,SQL,25,Q2 2026,18,87
Python Developer,WNS Global,Bangalore,Junior (1-3 yrs),BSc,742550,7.4,AWS|Django|REST APIs,AWS,120,Q1 2026,24,89
QA Engineer,Microsoft India,Hyderabad,Junior (1-3 yrs),M.Tech,531484,5.3,Manual Testing|SQL|Python,Manual Testing,64,Q2 2026,10,72
QA Engineer,TCS,Bangalore,Mid (3-5 yrs),M.Tech,659738,6.6,Manual Testing|JIRA|SQL,Manual Testing,25,Q2 2026,10,72
Data Engineer,Wipro,Hyderabad,Mid (3-5 yrs),M.Tech,1083805,10.8,Airflow|SQL|Spark|Hadoop|Python,Airflow,43,Q2 2026,30,93
Data Scientist,Deloitte,Bangalore,Junior (1-3 yrs),MBA,751323,7.5,Deep Learning|Machine Learning|Scikit-learn,Deep Learning,68,Q2 2026,28,95
Python Developer,Genpact,Mumbai,Fresher (0-1 yr),MSc,497024,5.0,SQL|REST APIs|AWS|Python,SQL,42,Q2 2026,24,89
Python Developer,Zomato,Bangalore,Junior (1-3 yrs),MCA,873930,8.7,FastAPI|REST APIs|SQL|Docker,FastAPI,10,Q2 2026,24,89
Data Scientist,Accenture,Hyderabad,Junior (1-3 yrs),BSc,785608,7.9,TensorFlow|Python|PyTorch|Scikit-learn|Deep Learning,TensorFlow,152,Q1 2026,28,95
Python Developer,Amazon India,Hyderabad,Mid (3-5 yrs),MBA,798011,8.0,SQL|Django|Python|REST APIs,SQL,71,Q2 2026,24,89
Data Scientist,Paytm,Mumbai,Fresher (0-1 yr),MSc,494764,4.9,SQL|Deep Learning|TensorFlow,SQL,19,Q2 2026,28,95
Data Scientist,Deloitte,Hyderabad,Junior (1-3 yrs),BSc,786664,7.9,Scikit-learn|PyTorch|Python|Statistics|Machine Learning,Scikit-learn,116,Q1 2026,28,95
Data Engineer,Capgemini,Gurgaon,Junior (1-3 yrs),M.Tech,666822,6.7,Hadoop|Kafka|Airflow,Hadoop,21,Q2 2026,30,93
Data Engineer,Mu Sigma,Hyderabad,Senior (5+ yrs),MBA,1284942,12.8,AWS|Airflow|Hadoop|SQL,AWS,173,Q4 2025,30,93
BI Developer,Google India,Mumbai,Junior (1-3 yrs),MSc,686639,6.9,DAX|SSRS|Azure,DAX,177,Q4 2025,15,80
Data Analyst,CRED,Hyderabad,Mid (3-5 yrs),BCA,758620,7.6,SQL|Python|Excel,SQL,121,Q1 2026,22,92
AI/ML Researcher,WNS Global,Bangalore,Fresher (0-1 yr),MSc,782153,7.8,LLMs|Mathematics|Python|Generative AI|Research,LLMs,143,Q1 2026,42,98
Python Developer,IBM India,Bangalore,Junior (1-3 yrs),MSc,857461,8.6,Python|FastAPI|AWS|Django,Python,180,Q4 2025,24,89
Data Scientist,Flipkart,Bangalore,Junior (1-3 yrs),MCA,778426,7.8,Python|SQL|Scikit-learn,Python,165,Q1 2026,28,95
ML Engineer,WNS Global,Bangalore,Junior (1-3 yrs),BSc,1198786,12.0,PyTorch|TensorFlow|Kubernetes,PyTorch,46,Q2 2026,35,96
ML Engineer,Razorpay,Gurgaon,Senior (5+ yrs),BSc,1636609,16.4,TensorFlow|Docker|Python|AWS,TensorFlow,115,Q1 2026,35,96
Data Engineer,Amazon India,Hyderabad,Fresher (0-1 yr),MSc,616808,6.2,Python|Airflow|Hadoop|SQL,Python,146,Q1 2026,30,93
